Establishment ID,Establishment Name,Establishment Type,Establishment Address
10765047,MAN YOU DIM SUM,Food Take Out,"4675 STEELES AVE E, Unit-1A28"
9031081,MANCHU WOK,Food Take Out,"200 WELLINGTON ST W, Unit-330"
9385277,MANCHU WOK,Food Take Out,"20 BLOOR ST E, Unit-6"
10246476,MANCHU WOK,Food Court Vendor,700 UNIVERSITY AVE
10531693,MANCHU WOK,Food Court Vendor,"300 BOROUGH DR, Unit-FC06"
10623860,MANCHU WOK,Food Take Out,900 DUFFERIN ST
10682994,MANCHU WOK - FB  210  - CNE 2024,Food Take Out,2 STRACHAN AVE
9057995,MANCHU WOK - FB BOOTH 109 - CNE 2024,Food Take Out,2 STRACHAN AVE
10804244,MANCINI KITCHEN,Cafeteria - Private Access,1400 DON MILLS RD
10638651,MANDALA FOOD STORE,Food Store (Convenience/Variety),1506 QUEEN ST W
10775279,MANDALA GIFT AND VARIETY,Food Take Out,"1496 QUEEN ST W, Unit-2"
9009514,MANDARIN,Restaurant,"2200 YONGE ST, Unit-18"
9009519,MANDARIN,Restaurant,"2206 EGLINTON AVE E, Unit-107"
9009520,MANDARIN RESTAURANT,Restaurant,200 QUEENS PLATE DR
10370190,MANDARIN RESTAURANT,Restaurant,"1027 FINCH AVE W, Unit-8"
10492680,MANDARIN RESTAURANT,Restaurant,1255 THE QUEENSWAY
9009524,MANDI DAY CARE,Child Care - Food Preparation,30 BARRHEAD CRES
10698441,MANDIAFANDI,Restaurant,"62 OVERLEA BLVD, Unit-10"
10749684,MANDY'S,Restaurant,52 OSSINGTON AVE
10755932,MANDY'S,Food Take Out,1121 CASTLEFIELD AVE
10803248,MANDY'S,Restaurant,"480 FRONT ST W, Unit-UG05"
10742480,MANDY'S CAFE,Food Take Out,"1828 ST CLAIR AVE W, Unit-2"
10763468,MANDY'S GOURMET SALADS - KITCHEN HUB,Food Take Out,1100 KING ST W
10770613,MANEK CHOWK,Restaurant,"875 MILNER AVE, Bldg-110"
10790987,MANG JOSE RESTAURANT,Food Take Out,3543 BATHURST ST
10627953,MANG MAR'S CHICHARON,Food Store (Convenience/Variety),2885 KEELE ST
10517488,MANG TOMAS LECHON,Food Take Out,3366 KEELE ST
10780474,MANGAL KEBAB HOUSE,Restaurant,"1585 WARDEN AVE, Unit-4"
10814114,MANGO LIKE DESSERTS,Food Take Out,"328 PASSMORE AVE, Unit-9"
10801400,MANGO MANGO,Restaurant,337 COLLEGE ST
10775729,MANGO RAIN,Food Take Out,"3308 LAKE SHORE BLVD W, Unit-3"
10764648,MANGO SUSHI,Restaurant,1272 DANFORTH AVE
10556276,MANGO THAI KITCHEN,Food Take Out,700 LAWRENCE AVE W
10574846,MANGOES RESTAURANT,Food Take Out,2491 LAKE SHORE BLVD W
10806176,MANGYAN FOOD MART,Food Take Out,1015 PAPE AVE
10717210,MANHYIA PALACE CONVENTION CENTER,Banquet Facility,95 EDDYSTONE AVE
10774156,MANIAN FOOD,Food Take Out,6464 YONGE ST
10583853,MANIC COFFEE,Food Take Out,426 COLLEGE ST
10253512,MANILA FOODS,Restaurant,538 ST CLAIR AVE W
10538069,MANILA SENTRO FILIPINO CUISINE,Food Take Out,29 HOWARD ST
10717226,MANITA,Restaurant,210 OSSINGTON AVE
10753984,MANNAT,Restaurant,839 COLLEGE ST
10515913,MANNING CANNING KITCHEN,Serving Kitchen,"105 VANDERHOOF AVE, Unit-8"
10619133,MANOR MONTESSORI SCHOOL,Child Care - Catered,909 MOUNT PLEASANT RD
10645556,MANOR MONTESSORI SCHOOL,Child Care - Catered,9 ELVINA GDNS
10648815,MANOR MONTESSORI SCHOOL,Child Care - Catered,14 DE SAVERY CRES
10575374,MANOR ROAD CO-OPERATIVE NURSERY SCHOOL INC.,Child Care - Food Preparation,111 MANOR RD E
10365572,MANOTAS FLAVOURS,Food Store (Convenience/Variety),"91 FRONT ST E, Unit-B30"
10307048,MANPUKU,Restaurant,105 MC CAUL ST
10807572,MANSAFJI,Food Take Out,181 PARLIAMENT ST
10668442,MANTRA,Restaurant,"1090 DON MILLS RD, Unit-A005"
10740770,MANUEL MARKET,Butcher Shop,969 ALBION RD
10811982,MANYAMAN FOODS,Restaurant,"685 KENNEDY RD, Unit-1"
10477706,MAPLE CAFE,Restaurant,5 LINNSMORE CRES
10784987,MAPLE CONVENIENCE,Food Store (Convenience/Variety),"3830 BLOOR ST W, Unit-B"
10577414,MAPLE LEAF CONVENIENCE,Food Store (Convenience/Variety),445 CHURCH ST
10661572,MAPLE LEAF FUDGE (RAWF 2024) HALL A,Food Take Out,100 PRINCES BLVD
10310777,"MAPLE LEAF HOUSE, GRILL AND LOUNGE",Restaurant,2749 LAKE SHORE BLVD W
9009559,MAPLE LEAF MINI FOOD MART,Food Store (Convenience/Variety),"4218 LAWRENCE AVE E, Unit-2"
10769508,MAPLE LEAF PUBLIC SCHOOL,Student Nutrition Site,301 CULFORD RD
10727541,MAPLE LEAF SPORTS BAR & GRILL,Restaurant,828 DANFORTH AVE
10560984,MAPLE LEAF TAVERN,Restaurant,955 GERRARD ST E
